Group (g),Time (t),"ATT(g,t)",Std. Error,CI Lower,CI Upper,Significant
1975.0,1970,-8.595827229817708,5.6723398706958434,-19.71361337638156,2.5219589167461454,
1975.0,1971,7.112105742744777,8.611734938339644,-9.766894736400925,23.99110622189048,
1975.0,1972,-17.587950706481926,8.04373970839247,-33.35368053493117,-1.8222208780326845,***
1975.0,1973,19.80688228607178,6.017350760950561,8.012874794608681,31.600889777534878,***
1975.0,1974,-3.8231618063790465,7.533747909966686,-18.58930770991375,10.942984097155659,
1975.0,1975,3.6653881072998025,1.8312211314679867,0.0761946896225485,7.254581524977056,***
1975.0,1976,1.2242329915364585,9.307956676956751,-17.019362095298774,19.46782807837169,
1975.0,1977,-2.7886142730712895,8.602285930577606,-19.649094697003395,14.071866150860817,
1975.0,1978,-7.269142150878906,5.373533708985196,-17.801268220489888,3.2629839187320773,
1975.0,1979,-8.227116902669271,11.165670102591868,-30.11183030374933,13.657596498410788,
1975.0,1980,-6.435873031616211,3.6742222995330347,-13.637348738700958,0.7656026754685366,
1975.0,1981,-0.3372173309326172,4.932817221192543,-10.005539084470001,9.331104422604767,
1975.0,1982,-9.557302474975586,2.3106754109541714,-14.08622628044576,-5.02837866950541,***
1975.0,1983,-15.724829673767093,7.331932112765153,-30.095416614786792,-1.3542427327473945,***
1975.0,1984,10.857608795166016,5.861572644369889,-0.6310735877989657,22.346291178130997,
1976.0,1965,-15.047670909336635,1.9773075725514941,-18.923193751537564,-11.172148067135707,***
1976.0,1966,1.1709377288818357,2.095884558970677,-2.9369960067006917,5.278871464464363,
1976.0,1967,-6.999650028773717,2.4214178061828826,-11.745628928892167,-2.2536711286552666,***
1976.0,1968,4.312516457693917,2.199402452535891,0.0016876507235705773,8.623345264664263,***
1976.0,1969,-10.335780635024562,2.0581201648928453,-14.36969615821454,-6.301865111834585,***
1976.0,1970,11.067825809601816,1.9702390179590112,7.206157334402153,14.929494284801478,***
1976.0,1971,1.0264066060384103,3.13433976173507,-5.116899326962327,7.169712539039147,
1976.0,1972,6.444439297630672,3.5816916035332853,-0.5756762452945665,13.46455484055591,
1976.0,1973,-23.69321944496848,3.5900193148283255,-30.729657302032,-16.656781587904963,***
1976.0,1974,42.6714301109314,2.982498366232307,36.825733313116075,48.51712690874672,***
1976.0,1975,-5.819648106892903,1.7302908053988029,-9.211018085474556,-2.42827812831125,***
